Noah; Williams; noah.williams@travel-sabre.com; ORD; SLC; UA; 521; Business; oneWay; 2014-01-02; 
Ethan; White; ethan.white@travel-sabre.com; ATL; CMH; 9W; 8101; Premium Economy; roundTrip; 2012-01-01; 2012-01-05
Ethan; White; ethan.white@travel-sabre.com; ATL; DTW; 9W; 8164; Economy; oneWay; 2012-01-14; 
Ethan; White; ethan.white@travel-sabre.com; DTW; ATL; 9W; 4618; Economy; oneWay; 2012-01-18; 
Ethan; White; ethan.white@travel-sabre.com; ORD; MKE; UA; 3832; Business; oneWay; 2012-01-26; 
Ethan; White; ethan.white@travel-sabre.com; MKE; ORD; UA; 2383; Business; oneWay; 2012-01-30; 
Ethan; White; ethan.white@travel-sabre.com; JNB; CPT; SA; 2021; First; oneWay; 2012-02-07; 
Ethan; White; ethan.white@travel-sabre.com; CPT; JNB; SA; 1202; First; oneWay; 2012-02-12; 
Ethan; White; ethan.white@travel-sabre.com; ATL; DTW; 9W; 8164; Premium Economy; oneWay; 2012-02-19; 
Ethan; White; ethan.white@travel-sabre.com; DTW; ATL; 9W; 4618; Premium Economy; oneWay; 2012-02-26; 
Ethan; White; ethan.white@travel-sabre.com; ORD; FLL; BA; 4707; First; roundTrip; 2012-03-02; 2012-03-07
Ethan; White; ethan.white@travel-sabre.com; JNB; PER; NZ; 3180; First; roundTrip; 2012-03-14; 2012-03-18
Ethan; White; ethan.white@travel-sabre.com; ORD; PHL; AS; 8132; Business; oneWay; 2012-03-25; 
Ethan; White; ethan.white@travel-sabre.com; PHL; ORD; AS; 2318; Business; oneWay; 2012-03-28; 
Ethan; White; ethan.white@travel-sabre.com; DFW; JAX; JL; 7256; First; oneWay; 2012-04-07; 
Ethan; White; ethan.white@travel-sabre.com; JAX; DFW; JL; 6527; First; oneWay; 2012-04-13; 
Ethan; White; ethan.white@travel-sabre.com; MEL; SYD; AA; 7311; Business; oneWay; 2012-04-19; 
Ethan; White; ethan.white@travel-sabre.com; SYD; MEL; AA; 1137; Business; oneWay; 2012-04-23; 
Ethan; White; ethan.white@travel-sabre.com; LAX; EWR; MU; 8833; Economy; oneWay; 2012-04-30; 
Ethan; White; ethan.white@travel-sabre.com; EWR; LAX; MU; 3388; Economy; oneWay; 2012-05-08; 
Ethan; White; ethan.white@travel-sabre.com; ATL; YYZ; DL; 2589; Premium Economy; oneWay; 2012-05-12; 
Ethan; White; ethan.white@travel-sabre.com; YYZ; ATL; DL; 9852; Premium Economy; oneWay; 2012-05-15; 
Ethan; White; ethan.white@travel-sabre.com; MUC; CDG; AF; 1823; Premium Economy; roundTrip; 2012-05-24; 2012-05-29
Ethan; White; ethan.white@travel-sabre.com; MEL; ADL; EY; 6876; Premium Economy; oneWay; 2012-06-06; 
Ethan; White; ethan.white@travel-sabre.com; ADL; MEL; EY; 6786; Premium Economy; oneWay; 2012-06-14; 
Ethan; White; ethan.white@travel-sabre.com; GRU; GIG; O6; 6152; Economy; oneWay; 2012-06-17; 
Ethan; White; ethan.white@travel-sabre.com; GIG; GRU; O6; 2516; Economy; oneWay; 2012-06-20; 
Ethan; White; ethan.white@travel-sabre.com; MUC; FRA; TP; 7649; Premium Economy; oneWay; 2012-06-30; 
Ethan; White; ethan.white@travel-sabre.com; FRA; MUC; TP; 9467; Premium Economy; oneWay; 2012-07-06; 
Ethan; White; ethan.white@travel-sabre.com; ORD; CLE; AA; 2948; Economy; oneWay; 2012-07-12; 
Ethan; White; ethan.white@travel-sabre.com; CLE; ORD; AA; 8492; Economy; oneWay; 2012-07-15; 
Ethan; White; ethan.white@travel-sabre.com; GRU; REC; G3; 1618; Economy; roundTrip; 2012-07-23; 2012-07-27
Ethan; White; ethan.white@travel-sabre.com; JNB; CPT; SA; 343; Economy; roundTrip; 2012-08-04; 2012-08-08
Ethan; White; ethan.white@travel-sabre.com; HKG; LAX; CX; 882; First; oneWay; 2012-08-17; 
Ethan; White; ethan.white@travel-sabre.com; LAX; HKG; CX; 288; First; oneWay; 2012-08-23; 
Ethan; White; ethan.white@travel-sabre.com; ORD; SFO; UA; 499; Premium Economy; roundTrip; 2012-08-29; 2012-09-03
Ethan; White; ethan.white@travel-sabre.com; GRU; IGU; BA; 6466; Premium Economy; roundTrip; 2013-01-01; 2013-01-05
Ethan; White; ethan.white@travel-sabre.com; DXB; DMM; EK; 823; Economy; roundTrip; 2013-01-14; 2013-01-17
Ethan; White; ethan.white@travel-sabre.com; MEL; MCY; EK; 7690; Economy; roundTrip; 2013-01-25; 2013-01-28
Ethan; White; ethan.white@travel-sabre.com; DFW; ICN; AA; 281; First; oneWay; 2013-02-06; 
Ethan; White; ethan.white@travel-sabre.com; ICN; DFW; AA; 182; First; oneWay; 2013-02-14; 
Ethan; White; ethan.white@travel-sabre.com; GRU; POA; AM; 8016; Business; oneWay; 2013-02-18; 
